Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
31:58.0,132.713,31:58.0,132.464,31:58.0,0.855708
31:58.1,132.84,31:58.1,132.368,31:58.1,0.857505
31:58.2,132.787,31:58.2,132.546,31:58.2,0.859104
31:58.3,132.843,31:58.3,132.342,31:58.3,0.862038
31:58.4,132.769,31:58.4,132.523,31:58.4,0.862409
31:58.5,132.863,31:58.5,132.558,31:58.5,0.865272
31:58.6,133.014,31:58.6,132.524,31:58.6,0.867247
31:58.7,132.894,31:58.7,132.704,31:58.7,0.868826
31:58.8,132.986,31:58.8,132.799,31:58.8,0.870871
31:58.9,133.039,31:58.9,132.494,31:58.9,0.872098
31:59.0,133.099,31:59.0,132.551,31:59.0,0.874686
31:59.1,133.064,31:59.1,132.643,31:59.1,0.8767
31:59.2,133.063,31:59.2,132.703,31:59.2,0.878584
31:59.3,133.005,31:59.3,132.642,31:59.3,0.88053
31:59.4,133.233,31:59.4,132.74,31:59.4,0.882381
31:59.5,133.008,31:59.5,132.576,31:59.5,0.883847
31:59.6,133.199,31:59.6,132.665,31:59.6,0.88626
31:59.7,133.116,31:59.7,132.624,31:59.7,0.888771
31:59.8,133.111,31:59.8,132.769,31:59.8,0.889855
31:59.9,133.127,31:59.9,132.666,31:59.9,0.891951
32:00.0,133.303,32:00.0,132.739,32:00.0,0.89336
32:00.1,133.352,32:00.1,132.673,32:00.1,0.896039
32:00.2,133.174,32:00.2,132.744,32:00.2,0.897451
32:00.3,133.275,32:00.3,132.707,32:00.3,0.899774
32:00.4,133.331,32:00.4,132.873,32:00.4,0.901575
32:00.5,133.449,32:00.5,132.78,32:00.5,0.902767
32:00.6,133.362,32:00.6,132.729,32:00.6,0.905899
32:00.7,133.441,32:00.7,132.802,32:00.7,0.907501
32:00.8,133.455,32:00.8,132.907,32:00.8,0.909015
32:00.9,133.357,32:00.9,132.748,32:00.9,0.91029
32:01.0,133.456,32:01.0,133.094,32:01.0,0.913157
32:01.1,133.412,32:01.1,132.924,32:01.1,0.914905
32:01.2,133.458,32:01.2,133.114,32:01.2,0.916603
32:01.3,133.438,32:01.3,132.988,32:01.3,0.91846
32:01.4,133.482,32:01.4,133.094,32:01.4,0.920805
32:01.5,133.58,32:01.5,133.008,32:01.5,0.922576
32:01.6,133.479,32:01.6,133.096,32:01.6,0.924042
32:01.7,133.323,32:01.7,133.131,32:01.7,0.926595
32:01.8,133.276,32:01.8,133.101,32:01.8,0.927716
32:01.9,133.373,32:01.9,133.05,32:01.9,0.929621
32:02.0,133.361,32:02.0,133.202,32:02.0,0.931614
32:02.1,133.417,32:02.1,133.206,32:02.1,0.933905
32:02.2,133.254,32:02.2,133.137,32:02.2,0.935165
32:02.3,133.471,32:02.3,133.273,32:02.3,0.937692
32:02.4,133.395,32:02.4,133.294,32:02.4,0.939168
32:02.5,133.516,32:02.5,133.467,32:02.5,0.940825
32:02.6,133.499,32:02.6,133.228,32:02.6,0.9432
32:02.7,133.616,32:02.7,133.275,32:02.7,0.944499
